property_id,title,description,area_sqft,location,bedrooms,bathrooms,property_type,amenities,listing_date,image_url,price_usd
UK0001,Modern Suburban Home,Beautiful modern home located in a prime US neighborhood with high investment potential.,2987,"London, UK",6,3,Apartment,"Swimming Pool, Security System, Central AC, Walk-in Closet, Garage",2025-09-17,https://images.pexels.com/photos/18435276/pexels-photo-18435276.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,708308.0
UK0002,Elegant Contemporary Villa,Beautiful modern home located in a prime US neighborhood with high investment potential.,5259,"Manchester, UK",2,3,Apartment,"Walk-in Closet, Backyard, Security System, Solar Panels",2024-07-10,https://images.pexels.com/photos/17174768/pexels-photo-17174768.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,276445.0
UK0003,Modern Suburban Home,Beautiful modern home located in a prime US neighborhood with high investment potential.,2007,"Birmingham, UK",5,5,Single Family Home,"Garage, Walk-in Closet, Fireplace, Swimming Pool, Central AC",2024-04-29,https://images.pexels.com/photos/17174766/pexels-photo-17174766.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,177064.0
UK0004,Elegant Contemporary Villa,Beautiful modern home located in a prime US neighborhood with high investment potential.,2478,"Leeds, UK",6,5,Penthouse,"Walk-in Closet, Central AC, Garage, Security System",2024-09-30,https://images.pexels.com/photos/17174767/pexels-photo-17174767.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,1078472.0
UK0005,Luxury Family Residence,Beautiful modern home located in a prime US neighborhood with high investment potential.,3947,"Liverpool, UK",6,5,Villa,"Fireplace, Walk-in Closet, Central AC, Solar Panels, Smart Home System, Security System",2025-10-08,https://images.pexels.com/photos/7031408/pexels-photo-7031408.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,616405.0
UK0006,Premium Downtown Condo,Beautiful modern home located in a prime US neighborhood with high investment potential.,2101,"Bristol, UK",5,2,Townhouse,"Backyard, Fireplace, Security System, Central AC, Walk-in Closet",2025-10-15,https://images.pexels.com/photos/1115804/pexels-photo-1115804.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,1418168.0
UK0007,Modern Suburban Home,Beautiful modern home located in a prime US neighborhood with high investment potential.,1116,"Oxford, UK",3,4,Single Family Home,"Smart Home System, Fireplace, Walk-in Closet, Backyard",2024-03-04,https://images.pexels.com/photos/323780/pexels-photo-323780.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,740416.0
UK0008,Luxury Family Residence,Beautiful modern home located in a prime US neighborhood with high investment potential.,2783,"Cambridge, UK",2,2,Condo,"Central AC, Garage, Solar Panels, Fireplace",2025-09-26,https://images.pexels.com/photos/1974596/pexels-photo-1974596.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,648269.0
UK0009,Premium Downtown Condo,Beautiful modern home located in a prime US neighborhood with high investment potential.,3622,"Nottingham, UK",4,3,Townhouse,"Swimming Pool, Smart Home System, Security System, Backyard",2025-09-30,https://images.pexels.com/photos/26812639/pexels-photo-26812639.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,220898.0
UK0010,Premium Downtown Condo,Beautiful modern home located in a prime US neighborhood with high investment potential.,3965,"Sheffield, UK",6,4,Single Family Home,"Garage, Swimming Pool, Backyard",2025-06-23,https://images.pexels.com/photos/36006588/pexels-photo-36006588.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,925006.0
UK0011,Elegant Contemporary Villa,Beautiful modern home located in a prime US neighborhood with high investment potential.,4744,"London, UK",5,3,Penthouse,"Solar Panels, Swimming Pool, Security System",2024-03-15,https://images.pexels.com/photos/7031604/pexels-photo-7031604.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,541467.0
