property_id,title,description,price_usd,area_sqft,location,bedrooms,bathrooms,property_type,amenities,listing_date,image_url
USA0001,Modern Suburban Home,Beautiful modern home located in a prime US neighborhood with high investment potential.,896592,2987,"Atlanta, GA",6,3,Apartment,"Swimming Pool, Security System, Central AC, Walk-in Closet, Garage",2025-09-17,https://images.pexels.com/photos/18435276/pexels-photo-18435276.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
USA0002,Elegant Contemporary Villa,Beautiful modern home located in a prime US neighborhood with high investment potential.,349930,5259,"San Francisco, CA",2,3,Apartment,"Walk-in Closet, Backyard, Security System, Solar Panels",2024-07-10,https://images.pexels.com/photos/17174768/pexels-photo-17174768.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
USA0003,Modern Suburban Home,Beautiful modern home located in a prime US neighborhood with high investment potential.,224132,2007,"New York, NY",5,5,Single Family Home,"Garage, Walk-in Closet, Fireplace, Swimming Pool, Central AC",2024-04-29,https://images.pexels.com/photos/17174766/pexels-photo-17174766.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
USA0004,Elegant Contemporary Villa,Beautiful modern home located in a prime US neighborhood with high investment potential.,1365155,2478,"Atlanta, GA",6,5,Penthouse,"Walk-in Closet, Central AC, Garage, Security System",2024-09-30,https://images.pexels.com/photos/17174767/pexels-photo-17174767.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
USA0005,Luxury Family Residence,Beautiful modern home located in a prime US neighborhood with high investment potential.,780259,3947,"Los Angeles, CA",6,5,Villa,"Fireplace, Walk-in Closet, Central AC, Solar Panels, Smart Home System, Security System",2025-10-08,https://images.pexels.com/photos/7031408/pexels-photo-7031408.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
USA0006,Premium Downtown Condo,Beautiful modern home located in a prime US neighborhood with high investment potential.,1795149,2101,"Atlanta, GA",5,2,Townhouse,"Backyard, Fireplace, Security System, Central AC, Walk-in Closet",2025-10-15,https://images.pexels.com/photos/1115804/pexels-photo-1115804.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
USA0007,Modern Suburban Home,Beautiful modern home located in a prime US neighborhood with high investment potential.,937235,1116,"Los Angeles, CA",3,4,Single Family Home,"Smart Home System, Fireplace, Walk-in Closet, Backyard",2024-03-04,https://images.pexels.com/photos/323780/pexels-photo-323780.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
USA0008,Luxury Family Residence,Beautiful modern home located in a prime US neighborhood with high investment potential.,820594,2783,"Atlanta, GA",2,2,Condo,"Central AC, Garage, Solar Panels, Fireplace",2025-09-26,https://images.pexels.com/photos/1974596/pexels-photo-1974596.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
USA0009,Premium Downtown Condo,Beautiful modern home located in a prime US neighborhood with high investment potential.,279618,3622,"Miami, FL",4,3,Townhouse,"Swimming Pool, Smart Home System, Security System, Backyard",2025-09-30,https://images.pexels.com/photos/26812639/pexels-photo-26812639.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
USA0010,Premium Downtown Condo,Beautiful modern home located in a prime US neighborhood with high investment potential.,1170894,3965,"Austin, TX",6,4,Single Family Home,"Garage, Swimming Pool, Backyard",2025-06-23,https://images.pexels.com/photos/36006588/pexels-photo-36006588.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
